Experience,Fatigue,StrengthTrend,WeeksInBlock,CompIn5Weeks,Stress,Block
5,5,Improving,1,N,3,Volume
6,6,Improving,2,N,4,Volume
4,4,Plateau,4,N,8,Deload
7,7,Improving,5,Y,4,Peak
3,3,Plateau,3,N,5,Volume
8,8,Declining,5,N,9,Deload
2,2,Improving,2,N,3,Volume
9,9,Improving,4,Y,5,Peak
5,5,Improving,3,Y,4,Peak
1,1,Plateau,2,N,7,Deload
6,6,Declining,4,N,6,Deload
4,4,Plateau,1,N,3,Volume
7,7,Improving,1,N,4,Volume
5,5,Improving,5,Y,8,Deload
3,3,Improving,4,Y,5,Peak
2,4,Improving,1,N,5,Volume
9,4,Improving,1,N,5,Volume
9,3,Plateau,2,N,6,Volume
1,6,Improving,2,N,8,Deload
2,5,Declining,4,Y,4,Deload
9,1,Improving,1,N,3,Volume
6,5,Improving,5,Y,3,Peak
4,5,Plateau,1,N,3,Volume
5,7,Plateau,6,N,5,Deload
3,6,Declining,4,N,5,Deload
1,6,Declining,2,N,6,Deload
10,5,Plateau,6,Y,9,Deload
5,5,Plateau,2,N,7,Volume
7,6,Declining,3,N,6,Deload
2,6,Declining,2,N,6,Deload
8,9,Plateau,5,Y,5,Deload
9,5,Improving,3,N,6,Peak
5,8,Plateau,5,N,7,Deload
9,8,Improving,5,Y,10,Deload
1,9,Improving,5,N,4,Deload
5,7,Declining,2,Y,5,Deload
2,4,Improving,5,N,6,Volume
10,8,Declining,4,N,4,Deload
7,7,Plateau,6,N,6,Deload
6,4,Improving,1,N,5,Volume
4,7,Declining,1,N,6,Deload
4,7,Declining,5,Y,6,Deload
7,4,Plateau,2,Y,6,Peak
1,10,Plateau,6,N,7,Deload
2,5,Plateau,2,N,6,Volume
2,9,Declining,4,N,8,Deload
1,6,Declining,1,N,7,Deload
7,1,Improving,1,Y,7,Peak
5,7,Plateau,4,N,3,Volume
4,5,Improving,3,N,4,Volume
1,8,Declining,5,N,7,Deload
3,4,Plateau,1,N,5,Volume
4,5,Plateau,5,N,7,Volume
5,4,Improving,2,N,6,Volume
8,9,Declining,3,N,6,Deload
2,5,Plateau,1,N,6,Volume
4,4,Plateau,3,N,5,Volume
9,5,Plateau,1,N,4,Volume
5,5,Plateau,1,N,6,Volume
6,5,Declining,2,N,6,Deload
1,7,Declining,1,N,6,Deload
5,5,Plateau,2,N,5,Volume
3,5,Improving,5,Y,5,Peak
6,4,Improving,1,N,5,Volume
7,8,Declining,5,N,8,Deload
3,4,Plateau,4,Y,9,Deload
4,5,Plateau,3,Y,5,Peak
4,8,Declining,4,N,5,Deload
7,5,Improving,3,N,3,Volume
9,6,Improving,3,N,5,Volume
5,4,Plateau,1,Y,3,Peak
9,4,Plateau,1,N,7,Peak
4,9,Declining,3,N,5,Deload
2,7,Plateau,6,N,5,Deload
9,3,Plateau,2,N,7,Volume
10,7,Declining,3,N,7,Deload
10,7,Plateau,6,Y,4,Peak
3,6,Plateau,6,Y,5,Peak
4,9,Declining,6,Y,8,Deload
10,3,Declining,1,N,4,Volume
7,7,Plateau,2,Y,2,Peak
7,6,Declining,2,Y,6,Deload
2,4,Plateau,4,Y,5,Peak
8,5,Declining,5,N,8,Deload
3,7,Plateau,6,N,3,Deload
9,7,Improving,4,N,6,Volume
6,6,Improving,5,Y,6,Peak
7,9,Plateau,4,N,7,Deload
10,7,Declining,6,Y,6,Deload
5,5,Declining,4,N,8,Deload
10,3,Improving,2,N,5,Volume
7,9,Plateau,6,Y,8,Deload
10,3,Improving,5,N,7,Volume
5,4,Plateau,4,N,9,Deload
7,5,Plateau,3,N,4,Volume
4,9,Declining,6,Y,7,Deload
1,5,Improving,5,Y,4,Peak
5,5,Plateau,3,Y,4,Peak
5,3,Declining,1,N,4,Volume
4,6,Declining,1,N,8,Deload
10,6,Plateau,1,N,5,Volume
2,5,Improving,5,N,7,Volume
6,8,Plateau,6,N,7,Deload
5,5,Plateau,5,N,6,Volume
5,10,Declining,3,N,8,Deload
8,9,Improving,5,N,6,Deload
4,7,Improving,3,N,3,Volume
1,6,Improving,5,N,4,Deload
8,9,Plateau,6,N,6,Deload
4,4,Improving,3,N,5,Volume
9,5,Plateau,3,N,6,Volume
6,5,Declining,1,N,4,Volume
5,4,Plateau,6,N,3,Volume
5,4,Improving,2,N,4,Volume
1,7,Declining,5,Y,4,Deload
1,5,Plateau,5,Y,10,Deload
8,5,Improving,1,N,5,Volume
3,6,Improving,5,N,8,Deload
10,5,Plateau,5,Y,6,Peak
7,6,Improving,3,N,5,Volume
4,5,Improving,3,N,6,Deload
10,5,Improving,4,N,3,Volume
4,4,Plateau,3,N,1,Volume
9,6,Declining,2,N,5,Deload
5,7,Plateau,5,N,7,Deload
7,6,Plateau,3,N,5,Volume
6,9,Improving,5,Y,5,Deload
1,7,Plateau,6,N,5,Deload
8,4,Plateau,3,N,3,Volume
6,7,Plateau,4,N,4,Volume
5,7,Declining,6,N,6,Deload
6,1,Improving,1,N,4,Volume
9,4,Improving,4,N,8,Deload
1,3,Improving,2,N,8,Deload
1,8,Improving,6,N,8,Deload
2,5,Declining,2,N,6,Deload
8,6,Plateau,6,Y,7,Peak
8,4,Improving,5,Y,4,Peak
2,5,Declining,3,N,9,Deload
1,5,Declining,3,N,5,Volume
8,6,Improving,5,N,4,Deload
4,8,Improving,6,Y,5,Deload
8,9,Improving,6,N,6,Deload
3,7,Improving,4,N,5,Volume
8,4,Plateau,1,N,3,Volume
3,4,Declining,1,N,8,Deload
6,6,Improving,6,N,9,Deload
9,3,Improving,1,N,3,Volume
2,6,Plateau,4,N,5,Volume
5,5,Declining,1,Y,7,Deload
9,8,Declining,4,N,7,Deload
10,10,Declining,6,Y,9,Deload
5,10,Declining,6,Y,6,Deload
8,7,Improving,3,N,4,Volume
5,7,Declining,2,N,7,Deload
5,8,Declining,6,Y,6,Deload
1,10,Declining,5,N,5,Deload
6,4,Plateau,2,N,2,Volume
3,10,Plateau,6,Y,7,Deload
3,3,Improving,1,N,5,Volume
6,8,Improving,5,N,9,Deload
5,8,Declining,6,N,7,Deload
4,10,Declining,6,N,6,Deload
7,2,Improving,1,N,7,Volume
7,7,Improving,6,N,7,Deload
9,7,Improving,3,N,6,Volume
5,8,Improving,6,N,6,Deload
2,2,Improving,2,N,5,Volume
9,8,Plateau,4,N,4,Deload
10,5,Improving,4,N,4,Volume
4,1,Plateau,3,Y,4,Peak
7,6,Improving,3,N,3,Volume
10,6,Improving,1,Y,4,Peak
9,6,Declining,2,N,9,Deload
10,7,Declining,1,N,5,Deload
2,5,Improving,6,N,9,Deload
1,4,Improving,2,N,5,Volume
8,1,Improving,3,N,5,Volume
9,8,Declining,3,N,7,Deload
2,7,Plateau,4,N,4,Volume
3,5,Plateau,3,N,3,Volume
5,6,Plateau,4,N,5,Volume
9,9,Plateau,6,N,5,Deload
7,5,Improving,4,N,7,Volume
8,1,Improving,1,Y,6,Peak
3,6,Declining,5,Y,6,Deload
7,7,Improving,6,Y,7,Peak
3,8,Declining,6,N,9,Deload
5,4,Plateau,5,Y,5,Peak
9,4,Plateau,1,N,4,Volume
5,6,Improving,3,N,7,Volume
1,2,Improving,1,N,5,Volume
6,10,Declining,5,N,9,Deload
2,4,Plateau,3,N,4,Volume
9,3,Improving,1,N,2,Volume
5,7,Declining,1,N,6,Deload
3,3,Improving,3,N,5,Volume
9,7,Plateau,6,Y,5,Peak
1,9,Declining,4,Y,5,Deload
7,4,Improving,3,Y,8,Deload
6,2,Improving,1,N,5,Volume
5,8,Improving,6,Y,8,Deload
9,4,Improving,2,N,1,Volume
4,2,Improving,1,Y,3,Peak
3,8,Plateau,6,N,4,Deload
10,9,Plateau,6,N,4,Deload
2,5,Improving,4,N,6,Volume
5,6,Improving,4,N,5,Volume
2,3,Improving,5,N,4,Volume
1,7,Plateau,4,N,8,Deload
1,6,Declining,4,Y,9,Deload
3,2,Plateau,1,N,5,Volume
6,5,Plateau,3,N,5,Volume
6,3,Plateau,1,N,5,Volume
10,6,Plateau,2,N,6,Volume
7,6,Declining,2,N,7,Deload
3,10,Declining,6,N,7,Deload
7,7,Improving,5,N,7,Deload
8,7,Improving,2,N,6,Volume
9,5,Improving,6,N,9,Deload
7,7,Declining,2,Y,2,Deload
8,4,Plateau,1,N,6,Volume
8,5,Improving,2,N,3,Volume
6,8,Declining,6,N,7,Deload
9,8,Declining,4,N,5,Deload
8,7,Improving,3,N,2,Volume
3,6,Plateau,3,N,4,Volume
8,4,Improving,3,N,6,Volume
2,7,Improving,3,N,7,Volume
3,3,Declining,2,Y,6,Deload
8,9,Declining,4,N,7,Deload
10,7,Plateau,5,N,7,Deload
10,6,Declining,4,Y,6,Deload
10,6,Improving,2,N,5,Volume
3,5,Plateau,6,N,10,Deload
9,10,Declining,5,Y,7,Deload
1,5,Improving,3,N,3,Volume
6,5,Plateau,2,Y,4,Peak
8,8,Improving,6,N,8,Deload
1,8,Declining,3,N,5,Deload
